term,definition
가상자산(Virtual Asset),"2021년 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 개정안에서 암호화폐,
가상화폐, 디지털화폐 등 다양하게 사용되던 용어를 '가상자산(Virtual Assets)'으로 통일
하고, 가상자산은 경제적 가치를 지닌 것으로서 전자적으로 거래 또는 이전될 수 있는
전자적 증표(그에 관한 일체의 권리를 포함한다)로 정의함."
감사 기록(Audit Logging),"정보 시스템 사용자의 행위에 대한 증거가 되는 데이터를 시간순으로 기록, 저장하는 것
으로 관리 책임자에 의해 총괄 관리되며 시스템의 각 업무 관리자는 당해 업무에 대한
감사 기록만 열람할 수 있음."
감사 추적(audit trail),"정보 시스템 내에 저장된 감사 기록 데이터를 이용하여 사용자의 비인가된 행위, 사용자
행위의 처리 과정, 정보 시스템 활용 현황 등에 대한 정보를 조사하는 방법."
감사(audit),"사용 정책 및 보안 정책을 수립하고 이에 따라 정보 시스템이 안전하게 운용되고 있는지
확인하기 위하여 정보 시스템 내에 기록, 저장되어 있는 각종 사용자 행위에 대한 상세
내용을 조사, 분석하는 행위."
감청(Lawful Interception),"당사자 동의 없이 대화를 엿듣거나 행동을 채집하여 기록하거나 녹음하는 행위. 「통신
비밀보호법」에서는 감청을 ‘전기통신에 대하여 당사자의 동의 없이 전자장치·기계장치
등을 사용하여 통신의 음향·문언·부호·영상을 청취·공독하여 그 내용을 지득 또는 채록하
거나 전기통신의 송·수신을 방해하는 것을 말한다’고 규정하고 있음. 범죄 수사나 국가
안보를 위하여 법원의 감청 영장을 발부받아 감청하면 합법적인 감청이 되지만, 그렇지
않았을 때는 불법인 도청이 됨. 다만, 국가 안위와 관련한 긴급한 사유가 있을 때에는 법
원의 허가 없이도 감청할 수 있음."
"강제적 접근 통제(MAC, Mandatory Access Control)","정보 시스템 내에서 어떤 주체가 특정 객체에 접근하려 할 때 양쪽의 보안 레이블
(Security Label)에 기초하여 높은 보안 수준을 요구하는 정보(객체)가 낮은 보안 수준의
주체에게 노출되지 않도록 접근을 제한하는 통제 방법."
"개념 증명 코드(PoC, Proof of Concept)","제품 또는 솔루션에 대한 동작 방식과 개념을 전달하고 입증하는 과정으로, 보안 취약점을
이용해 실제로 공격이 성공하는 것을 보여주는 증명이기도 함."
개인 키(private key),"공개 키 암호 체계에서 모든 사용자에게 공개되는 공개 키와 달리 사용자 자신만이 알고
있는 비밀 정보로 공개 키와는 풀기 어려운 수학적 문제에 기반한 연관성을 가짐으로써
공개 키로부터 개인 키를 아는 것이 어렵도록 구성됨. 따라서 개인 키는 개인 키를 소유한
당사자만 할 수 있어야 하는 계산에 사용되며, 이러한 예로 공개 키 암호 체계에서 공개 키로
암호화된 암호문을 복호화하거나 전자서명값을 생성하는 것을 들 수 있음."
"개인식별번호(PIN, Personal Identification Number)","본인임을 확인하기 위해 이용하는 숫자열이며, 넓은 의미로는 국가, 사회, 조직, 그룹 등
에서 특정 개인을 유일하게 식별하기 위해 미리 정해진 규격에 맞추어서 이용되는 수 또는
숫자들의 나열을 뜻하기도 함. 이때의 개인 식별 번호(PIN)는 주민등록번호, 아이핀
(I-PIN) 등을 포함하며 디지털 ID(digital ID) 또는 개인정보(personal information)에 해당
하므로 철저한 관리 및 보호가 필요함."
개인위치정보,"특정 개인의 위치정보(위차 정보만으로는 특정 개인의 위치를 알 수 없는 경우에도 다른
정보와 용이하게 결합하여 특정 개인의 위치를 알 수 있는 것을 포함한다)를 말함."
"개인정보 관리사(CPPG, Certified Privacy Protection General)","개인정보 보호 정책과 대처 방법론에 대한 지식이나 능력을 갖춘 사람. 개인정보 보호와
관련된 보안 정책의 수립, 기업 또는 기관의 개인정보 보호의 이해, 개인정보 취급자 관리,
관련 법규에 대한 지식이나 적용 같은 것에 대한 업무 능력을 보유한 사람으로서 해당
기관에서 주관하는 자격시험에 응시하여 합격한 자를 말함."
"개인정보 영향평가 제도(PIA, Privacy Impact Assessment)","개인정보파일의 신규 도입·변경 시 위험요인 분석 및 개선 사항을 도출하기 위하여 사전에
조사 분석·평가하기 위한 제도."
개인정보 처리자(Personal Information Manager),"업무를 목적으로 개인정보 파일을 운용하기 위하여 스스로 또는 다른 사람을 통하여
개인정보를 처리하는 공공 기관, 법인 단체 및 개인. 개인정보처리자는 개인정보 보호법
이나 관계 법령에서 정한 책임과 의무를 준수하여야 함."
개인정보 취급자(Personal Information Handler),"개인정보처리자의 지휘․감독을 받아 개인정보를 처리하는 업무를 담당하는 자로서 직접
개인정보에 관한 업무를 담당하는 자와 업무상 필요로 개인정보에 접근하여 처리하는 모든 자.
개인정보 처리 업무를 담당하고 있는 자라면 정규직, 비정규직, 하도급, 시간제 근로 등
모든 근로 형태를 불문하며, 고용 관계가 없더라도 실질적으로 개인정보처리자의 지휘․
감독을 받아 개인정보를 처리하는 자를 포함함."
개인정보 파일(Personal Information File),"개인정보를 쉽게 검색할 수 있도록 일정한 규칙에 따라 체계적으로 배열하거나 구성한
개인정보의 집합물. 개인의 이름이나 고유 식별 정보, ID 등을 색인(index)이나 검색값으로
하여 쉽게 검색할 수 있도록 체계적으로 배열하거나 구성한 것을 말하며, 일반적으로는
전자적 형태로 구성된 데이터베이스(DB)를 비롯한 워드, 엑셀 등 문서 파일을 포함한 수기
(手記) 문서 자료 등도 포함됨."
개인정보(Personal Information),"살아 있는 개인에 관한 정보로서 성명, 주민등록번호나 영상으로 개인을 알아볼 수 있는
정보. 여기에는 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 결합하여
알아볼 수 있는 정보까지 포함함."
개인정보보호 관리 체계 인증제(Personal Information Management System),"개인정보보호를 위한 일련의 조치와 활동이 인증기준에 적합함을 인터넷진흥원 또는 인증
기관이 증명하는 제도."
"개인정보보호 관리 체계(PIMS, Personal Information Management System)","개인 식별 정보(PII) 처리에 의해 잠재적으로 영향을 받는 개인정보 보호를 다루는 정보
보안 관리 시스템."
"개인정보보호 지수(IPI, Index on Personal Information)","개인정보보호 수준에 대한 평가 결과를 수치화한 지표. 기업과 개인 영역으로 분류되어
있으며, 각 영역별로 6개의 세부지표로 구성되어 있음. 기업영역 세부지표는 개인정보
취급방침 고지율, 개인정보보호조직 구성률, 개인정보보호교육 실시율, 암호화 통신율,
암호화 저장률, 물리적 접근통제율로 구성되어 있으며, 개인영역 세부지표는 개인정보
취급방침 확인율, PC 및 웹사이트 비밀번호 관리율, 공인인증서 사용률, 악성코드 제거
프로그램 사용률, 인터넷 보안설정률, 운영체제(OS) 업데이트율로 구성되어 있음."
개체 인증(entity authentication),어떤 실체가 정당한 실체임을 확인하기 위한 과정.
개체연결,"및
삽입/컴포넌트
객체
모델(OLE/COM,
Object
Linking
and
Embedding/ Component Object Model)
M社의 객체기반 기술의 일종으로서 서로 다른 응용프로그램이나 플랫폼이 데이터를 공유
하는데 사용함."
게이트웨이 (Gateway),"서로 다른 프로토콜 사이를 변환하는 하드웨어 또는 소프트웨어, 또는 또 다른 시스템에
대한 액세스를 제공하는 모든 매커니즘을 말한다. 즉, 게이트웨이는 서로 다른 네트워크
들을 함께 연결하기 위해 사용됨."
경량암호(Lightweight Cryptography),"IoT, 소형기기 등 메모리 및 성능이 제한된 환경에서 생성, 전송되는 데이터를 보호,
사용하기 위해 설계된 암호 알고리즘."
고스트 계정(Ghost Identity),"퇴사한 직원이나 사망한 직원의 계정. 이미 퇴사한 직원이나 사망한 직원의 계정이
시스템에 남아 있는 것을 말하며 이것은 보안 문제를 일으킬 수 있음."
"공개 키 기반 구조(PKI, Public Key Infrastructure)","공개 키 암호 체계에서 사용자의 공개 키와 개인 키의 관리 및 공개 키를 소유한 사용자의
보증 방법 등 체계 자체의 안전성에 근간을 이루는 키 관련 이슈를 정의한 구조."
공개 키 암호 시스템(Public key cryptographic system),"암호학적 연산을 위한 키를 사전에 공유해야 하는 비밀 키 암호 체계의 단점을 해소하기
위해, 모든 사용자에게 공개되는 정보와 각 사용자가 비밀리에 보호해야 하는 정보를 분리
하여 사용함으로써 사전 공유 정보의 필요성을 배제한 암호 체계. 모든 사용자에게 공개
되는 정보인 공개 키는 모든 사람이 다룰 수 있도록 공개하는 반면, 각 사용자의 비밀
정보인 개인 키는 소유자만이 사용할 수 있도록 관리되어야 하여, 공개 키와 개인 키는
계산적으로 어려운 문제에 의해 연관성을 가짐. 대표적인 공개 키 암호 체계로는 RSA와
ECC를 들 수 있음."
공개 키 인증서(Public key certificate),"인증서 소유자의 신분 확인 정보와 공개 키를 암호학적으로 안전하게 연결시키기 위하여
인증 기관의 서명용 개인 키로 생성한 전자서명값을 포함한 데이터 구조."
공개 키(Public key),"공개 키 암호 체계에서 해당 사용자를 대표하여 모든 사용자에게 공개되는 정보로 개인 키
와는 풀기 어려운 수학적 문제에 기반한 연관성을 가지도록 쌍으로 구성됨. 공개 키는
모든 사용자가 공개 키 소유자와 연관되어 수행하는 계산에 사용되며, 이러한 예로 공개 키를
사용한 데이터 암호화나 개인 키로 생성된 전자서명값을 검증하는 것을 들 수 있음."
공격 명령 서버 (C&C Server [Command and Control Server]),"감염된 좀비(Zombi) PC에 공격자가 원하는 공격을 수행하도록 명령을 내리고, 조종하는
원격지의 제어서버를 의미한다. 주로 악성코드 유포, 피싱, 스팸, DDOS 공격 등의 명령을
전달함."
공격용 툴킷(Attack Toolkit),"네트워크에 연결된 컴퓨터를 공격하려고 사용하는 악성 코드 프로그램을 모아 놓은 것을
의미."
"공공 아이핀(G-PIN, Goverment-Personal Identification Number)","주민등록번호 대체 수단으로, 주민번호 오·남용, 도용 등 개인정보보호를 강화하기 위해
공공 기관 웹사이트 회원가입이나 게시판 이용 시 사용하도록 의무화되었음. 민간부분에서
사용 중인 인터넷 개인식별번호(i-PIN)과 G-PIN을 연계하여 개인이 하나의 PIN을 이용
하여 사용할 수 있음."
공동인증서(Certificate),"인터넷 뱅킹, 전자민원(G4C), 전자입찰, 인터넷 주택청약 등에서 신원확인 수단으로 사용
하고 있는 공동인증기관이 발행한 인증서."
공증(notarization),"통신 중인 데이터의 무결성과 발신지 및 목적지 등과 같은 특성의 정확성을 보증하는 것
으로, 통신 실체들이 신뢰할 수 있는 제3자(공증인)가 증거를 제공."
"공증인, 공증 기관(notary, notary authority)","만료 기간이나 폐지 기간이 넘은 기존 토큰의 생명주기를 확장하기 위해, 또는 저장된
데이터나 통신하는 데이터 혹은 실체의 특성에 관한 증거를 제공하기 위해 필요한 제3의
신뢰기관."
"공통 데이터 보안 구조(CDSA, Common Data Security Architecture)","I社 주도하에 여러 업체들이 참여하여 응용에 대한 보안서비스 제공 규격 및 보안모듈
개발 방법론을 제공하는 것을 목적으로 하는 이기종간 플랫폼에서(cross-platform) 동작
되도록 만든 표준화된 응용 프로그래밍 인터페이스. Netscape, Datakey, VASCO Data
Security, Verisign 등의 제품에 CDSA가 내장되어 있음."
"공통평가기준(CC, Common Criteria)","정보 보호 제품의 평가 기준을 규정한 국제 표준(ISO/IEC 15408). 공통평가기준(CC)은
선진 각국들이 정보 보호 제품에 서로 다른 평가 기준을 가지고 평가를 시행하여 시간과
비용 낭비 등이 초래되는 문제점을 없애기 위해 개발됨. 1998년 국제 공통평가기준 상호
인정 협정(CCRA)이 미국, 캐나다, 영국, 프랑스, 독일 간에 체결되고, 1999년 공통평가기준
으로 ISO/IEC 15408 국제 표준이 제정되었고, 이후 지속적으로 개정중. CC는 정보화
순기능 역할을 보장하기 위해 정보 보호 기술 기준으로 정보화 제품의 정보 보호 기능과
이에 대한 사용 환경 등급을 규정함. 구성은 제1부 시스템의 평가 원칙과 평가 모델, 제2부
시스템 보안 기능 요구 사항, 제3부 시스템의 평가를 위한 보증 요구 사항으로 되어 있음."
관리형 탐지 및 대응 (MDR [Managed Defense & Response]),"보안 솔루션과 매니지드 서비스가 결합된 보안 모델로 네트워크 및 호스트에서 탐지된
위협들을 제거하고 대응하는 서비스 또는 아웃소싱 행위를 말함. 즉 전문 보안팀이 네트
워크에 침입한 악성코드와 악성 행위를 탐지하고 위협을 제거하기 위한 서비스임."
교차 인증(Cross-Certification),"인증서 발급기관 상호간에 인증하는 것. 상호 인증을 적용할 때 다른 인증 기관이 발행한
인증서를 상호 인증서(cross certificate)라 함."
구성설정오류 공격 (Configuration Vulnerability),"운영체제 및 응용프로그램의 설정 오류(위험성이 있는 기본설정의 사용, 사용자 편의를
위한 설정 조정 등)를 이용하는 해킹기법으로 홈페이지 위∙변조, 불법침입 등에 주로
이용됨."
"국가 공개 키 기반 구조(NPKI, National Public Key Infrastructure)","국가 전체를 대상으로 전자 거래의 안전성 및 신뢰성을 제공하기 위한 공개 키 기반 구조.
전자 서명법에 의해 과학기술정보통신부에서 정책을 담당하고 한국인터넷진흥원이 최상위
인증 기관 역할을 수행하며, 하위에 공동인증기관을 지정하여 일반 국민을 대상으로 전자
서명용 공동인증서를 발급하는 구조임."
국가정보보호지수(National Information Security Index),"국내 정보 보호의 현황을 파악하기 위하여 제정한 지수. 국가 정보 보호 지수는 백신
보급률, 패치 보급률, 방화벽 보급률 같은 것으로 구성된 정보 보호 기반 영역, 정보 보호
관련 예산 비율 같은 정보 보호 환경 영역과 해킹, 바이러스 신고 비율 같은 정보화
역기능 영역으로 구성되어 있음."
"권한 관리 기반 구조(PMI, Privilege Management Infrastructure)","인증된 사용자에게 시스템 정보 및 자원에 접근할 수 있는 권한은 물론 중요 접근통제
권한까지 부여해주는 권한 관리 체계."
권한 상승,"시스템 사용에 있어 제한없이 자유자재로 사용하기 위해 시스템에서 허용하는 권한을 상승
시키는 행위."
권한(Privilege),"사용자, 프로그램, 프로세스에 부여된 권한으로 시스템의 접근통제보다 우선함. 사용자
인증 절차를 통해 신원이 확인된 사용자에게 시스템이나 네트워크의 자원을 접근할 권리를
부여하는 것."
규칙 중심 탐지(Rules Based Detection),"알려진 침입 기법(서명) 또는 시스템 취약성에 해당하는 활동을 찾아냄으로써 침입을 탐지
하는 침입 탐지 시스템을 의미함."
그래픽 패스워드(Graphical password),"그래픽 사용자 인터페이스(GUI)로 표현된 사용자 이미지를 사용하는 인증 방식. 이 방식을
사용하는 인증을 그래픽 사용자 인증(GUA, Graphical User Authentication)이라 하며,
그래픽 패스워드는 문자 패스워드보다 사람들이 기억하기 쉽고, 보안성이 좋음."
근거리 무선 통신 (NFC(Near Field Communication)),"NFC(Near Field Communication). 근거리 무선 통신. 비접촉식근거리 무선통신 모듈로
10cm의 가까운 거리에서 단말기 간 데이터를 전송하는 기술."
기밀성(Confidentiality),"중요 정보가 인가되지 않은 상대방에게 노출되지 않음을 보장해 주는 성질. 난수발생기
(Random Bit Generator, Random Number Generator)통계적으로 독립되고 편중되지
않은 이진수열을 출력하는 장치 또는 알고리즘. 암호응용목적의 난수발생기는 일반적으로
0과 1의 비트열을 생성하며, 이 수열은 난수 블록으로 결합될 수 있음."
내용 필터링(Content Filtering),"사용자가 접근할 수 있는 콘텐츠를 제한하거나 통제하는 소프트웨어로, 특히 웹, 이메일,
기타 수단을 통해 인터넷을 경유하여 전달되는 내용을 제한하는데 유용함. 네트워크 기반
침입방지시스템 (NIPS, Network-based IPS)원하지 않는 트래픽을 막기 위해 패킷레벨에서
탐지 및 방지 사용, 공격 세션으로부터 원하지 않는 패킷들만 탈락기능 단점으로는 효과
적인 보안업데이트에 의존해야 함."
네트워크 보안(Network security),"인가되지 않은 노출, 변경, 파괴로부터 네트워크, 네트워크 서비스, 네트워크상의 정보를
보호하는 정보보호 활동을 총칭하며, 암호화, 전자서명, 접근통제, 데이터 무결성, 인증
교환 등의 보안 메커니즘과 침입탐지시스템, 침입방지시스템, 침입차단시스템 등을 이용한
정보보호 활동이 있음."
네트워크 포렌식 (Network Forensics),"네트워크 트래픽에서 증거물 획득하고 분석하는 것이다.(모니터링 도구). 네트워크 접속
저장장치 (NAS [Network Attached Storage])네트워크에 접속되도록 특화된 파일서버임.
이더넷이나 TCP/IP와 같은 LAN 프로토콜을 사용하며, 유닉스의 NFS와 도스/윈도우의
SMB와 같은 파일 입출력 요청을 처리함."
넷바이오스 (NetBIOS [Network Basic Input/Output System]),"LAN(IBM에서 개발) 내에서 서로 다른 컴퓨터의 응용 프로그램들이 통신할 수 있게 허용
하는 프로그램."
논리 폭탄(Logic bomb),"특정 조건이 만족되면 트리거에 의해 특정 형태의 '공격'을 하는 코드. 예를 들어, 12월
5일에 모든 파일을 지워버리는 논리폭탄이 있을 수 있음. 바이러스와 달리 논리폭탄은
자신을 복제할 수 없음."
능동 위협(Active threat),"단순히 정보를 가로채는 것 이외에 의도적으로 그 정보를 훼손, 변조하는 행위. 고의로
시스템의 내용을 변조하거나 시스템의 상태를 변경시키는 위협."
"다자간 계산(MPC, Multi-Party Computation)","분산된 여러 노드들이 각 개인별 입력 및 출력 내용을 공개하지 않고도, 임의의 기능을
공동으로 계산할 수 있는 암호화 기술."
"다중 레벨 보안(MLS, Multi-Level Security)","상이한 보안 권한과 정보제공원칙을 가진 사용자들이 동시에 접근을 허가받을 수 있도록
상이한 중요도를 지닌 정보를 포함하는 시스템의 등급."
단 대 단 인증(Peer to peer authentication),"통신 당사자 간의 신분 확인과 자격 유무의 확인, 통신 당사자 간의 신뢰성 있는 연결의
확립 또는 데이터 전송 과정에서 적용되는 서비스를 의미함."
단방향 인증(Unilateral authentication),"사용자가 시스템을 확인하지는 않는 대신, 시스템이 전송받은 사용자 신분을 확인하여
서비스가 이루어지는 인증 방식."
"단순 객체 접근 프로토콜(SOAP, Simple Object Access Protocol)","확장성 마크업 언어(XML)와 하이퍼텍스트 전송 규약(HTTP) 등을 기반으로 하여 다른
컴퓨터에 있는 데이터나 서비스를 호출하기 위한 통신 규약."
"단순 네트워크 관리 프로토콜(SNMP, Simple Network Management Protocol)","네트워크 관리 및 네트워크 장비의 감시를 다루는 프로토콜. 보고 장치 및 데이터 수
집 프로그램 간에 정보가 전달되는 방식을 설명하는 프로토콜이며. 전자우편을 분산
시키기 위한 표준 인터넷 프로토콜임. SNMP는 관리자가 네트워크 성능을 관리하고 문제점을
찾아 수정하는 데 도움을 주며, TCP/IP 네트워크에만 국한되지는 않음."
"단순 서비스 검색 프로토콜(SSDP, Simple Service Discovery Protocol)","SSDP는 네트워크상의 서비스나 정보를 찾는 프로토콜이다. 프린터나 스캐너, IP카메라,
스마트TV 등 IoT 기기가 네트워크를 탐색할 때 SSDP를 사용함."
"단일 사용 승인(SSO, Single Sign-On)","단 한번의 로그인만으로 기업의 각종 시스템이나 인터넷 서비스에 접속하게 해주는 보안
응용 솔루션. 각각의 시스템마다 인증 절차를 밟지 않고도 1개의 계정만으로 다양한
시스템에 접근할 수 있어 ID, 비밀번호에 대한 보안 위험 예방과 사용자 편의 증진, 인증
관리비용의 절감 효과가 있음."
대칭 암호화 알고리즘(Symmetric encipherment algorithm),"1개의 비밀 키를 사용하는 암복호화 알고리즘으로 연산(암복호화) 속도가 빠르다는 장점이
있음. 그러나 비밀 키 암호 체계의 특성상 암호화와 복호화 연산을 수행하는 각 사용자는
비밀 키를 사전에 공유해야 함."
데브섹옵스 (DevSecOps),"데브옵스와 보안이 결합된 개념으로, 데브옵스의 IT 개발부터 배포, 운영, 관리에 이르기
까지 전 영역이 보안과 연계된 것을 의미함. 즉, 상호협력 관계인 데브옵스 프레임워크에
보안을 공동의 책임으로 간주하고 개발부터 운영까지의 전 라이프사이클에 걸쳐 빌트인
된 보안 기반을 구축하는 것이 데브섹옵스임."
데브옵스(DevOps),"데브옵스는 애플리케이션과 서비스를 빠른 속도로 제공할 수 있도록 조직의 역량을 향상
시키는 문화 철학, 방식 및 도구의 조합임. 이를 활용하면 제품을 더 빠르게 혁신하고 개
선할 수 있음. 데브옵스 팀 전체가 보안을 중점으로 하는 경우 데브섹옵스(DevSecOps)
라고 부름."
데이터 무결성(Data integrity),"데이터의 변경 혹은 변조 사실을 확인할 수 있도록 하는 보안 서비스.
데이터 발신 인증(Data origin authentication)수신된 데이터의 발신 객체에 대한 인증으로,
네트워크를 통해 수신된 데이터가 도중에 해킹 등 악의의 공격으로부터의 변조 없이
발신자로부터 올바로 전송되었음을 확인함."
데이터 보안(Data security),"하드웨어나 소프트웨어의 오류로 인한 자료의 손실을 방지하고, 천재지변이나 도난 또는
고의적인 유출로부터 자료를 보호하는 것. 인증되지 않은 사용자로부터 데이터를 안전하게
보관하고 네트워크를 통해 서로 안전하게 주고받을 수 있도록 하는 보호하는 방법."
데이터 위주 공격 (Data Driven Attack),"사이버 공격 형태 가운데 하나로, 외관상으로는 무해한 데이터 형태이지만 악의적인
의도로 만들어진 데이터를 뜻함. 사용자 또는 다른 소프트웨어에 의해 실행되어 공격을
수행되는 사이버 공격"
"데이터 유출 방지(DLP, Data Loss Prevention)","기업 내부자의 고의나 실수로 정보가 밖으로 새어나가는 것을 방지하는 시스템. 사내
직원이 사용하는 개인용 컴퓨터(PC)와 네트워크상의 모든 정보를 검색하고 사용자의
행위를 탐지·통제해 내부 정보의 외부 유출을 사전에 차단하는 기술."
데이터베이스 보안(Database security),"데이터베이스 및 데이터베이스 내에 저장된 데이터를 비인가된 객체에 의해서 변경, 파괴,
노출 및 비일관성을 발생시키는 사건으로부터 보호하는 방법."
데프콘(DEFCON),"미국에서 개최되는 세계 최대의 컴퓨터 보안 컨퍼런스이자 해킹 대회로서, 전 세계 해커
들과 보안 전문가들이 모여서 CTF(Capture The Flag)방식으로 대회 진행."
"델타 CRL(d-CRL, delta CRL, delta Certificate Revocation List)","공개 키 기반 구조에서 폐지된 인증서의 수가 증가함에 따라 CRL의 크기가 무한대로 커져
가는 것을 방지하기 위하여 이전 CRL 발생 이후에 폐지된 인증서만을 모아둔 부분 CRL."
도메인 이름 서버 (DNS Server [Domain Name System Server]),"도메인
이름(mydomain.com)을
IP
주소(123.456.789.012)로
변환하기
위해
DNS(Domain Name System)를 사용하는 서버임."
도청(eavesdropping),"비인가된 사용자, 컴퓨터 또는 프로그램이 전송 정보를 불법적으로 가로채는 것으로, 송
수신되는 정보의 변경을 포함하지 않는, 정보의 수신만을 의미."
도커 (Docker),"리눅스의 응용 프로그램들을 소프트웨어 컨테이너 안에 배치시키는 일을 자동화하는
오픈소스 프로젝트."
"동적 WEP 키(Dynamic WEP Key, Dynamic Wired Equivalent Privacy Key)","무선 단말기와 AP 간의 WEP키를 주기적으로 자동 변경함으로써, 무선랜의 보안성을
향상시킨 방식. 정적 WEP 키 방식은 공유된 해킹툴로도 간단하게 해킹이 가능해져, 이를
보완하기 위해 동적 WEP 키 방식을 사용하고 있음. WEP이 키를 변경하지 않고 사용하는
데서 발생하는 취약성을 보완하기 위해, 무선 단말기와 AP 간의 WEP 키를 주기적으로
자동 변경시키는 방식."
동적 호스트 구성 프로토콜 (DHCP [Dynamic Host Configuration Protocol]),"동적 호스트 구성 프로토콜의 약자로 네트워크의 IP 주소 할당을 중앙에서 그리고 자동
으로 관리하기 위한 프로토콜임."
동형암호(Homomorphic Encryption),"암호화한 데이터를 복호화하지 않은 상태에서 연산할 수 있는 암호화 방식. 암호문 사이의
연산 결과가 평문에서 연산한 후 암호화한 결과와 같은 값을 가지는 암호 알고리즘."
두-요소 인증 (Two-Factor Authentication),"두 가지 인증 방법을 조합 적용하는 안전성을 향상시키는 인증. 단일 인증의 보안 취약성을
보강하기 위하여 이들 중 서로 다른 2개의 인증을 조합하여 채택."
드라이브 바이 다운로드 (Drive-By Download),"사용자가 알지 못하는 사이에 악성 콘텐츠를 사용자의 컴퓨터로 동의없이 다운로드시키는
공격유형을 의미함."
드롭퍼 (Dropper),파일 자체 내에는 바이러스 코드가 없으나 실행 시 바이러스를 불러오는 실행 파일.
"등록 기관(RA, Registration Authority)",인증 기관으로부터 인증서 발급을 원하는 사용자의 신원확인 업무를 위임받아 수행하는 기관.
디렉터리 시스템(Directory System),"① 일반적으로 어떤 대상의 이름과 그것에 관계되는 정보를 모아 놓은 표를 관리하는
시스템으로, 통신의 전화번호부(telephone directory) 관리 시스템이 한 예임.
② 컴퓨터 시스템에서 사용하고 있는 각종 등록부(Directory)를 관리하는 시스템.
③ 공개 키 기반구조에서 사용되는 정보들을 관리하는 시스템으로, 인증서, CRL, 사용자
정보 등을 분산환경하에서 효율적으로 저장하고 배포하는 기능을 제공함."
디버깅 (Debugging),"컴퓨터 프로그램이나 하드웨어 장치에서 잘못된 부분(버그)를 찾아서 수정하는 것으로,
최근 정상적인 프로그램을 변경하는 데 악용되는 경우가 많음."
디지털 위험(Digital Risk),"디지털 기술에 기반한 각종 매체 및 사이버 공간 상에서 발생하는 위험. 디지털화가
가속화되면서 사회공동체의 존립과 운영에 부정적 영향을 미치는 정치·경제·사회·문화적
측면의 각종 위험을 포괄함. 개인정보 유출, 해킹·바이러스, 사이버 폭력, 인터넷 중독 등이
대표적인 디지털 위험 사례임."
디지털 증거(Digital Evidence),"디지털 형태로 저장되거나 전송되는 증거로서 가치를 가지는 정보. 물리적 증거와는 달리
눈에 보이지 않지만 전자장치에 저장되어 있는 문서, 이미지, 영상, 음향 등과 통신망을
통해 교환되는 네트워크 패킷 등이 있음."
디지털 포렌식(Digital Forensic),"정보기기 내에 내장된 디지털 자료를 법적 증거가 되도록 하기 위해 자료를 수집, 보관,
분석, 보고하는 절차와 방법을 의미함. 주로, 범죄수사, 민형사상 소송, 기업감사 등에서
많이 이용되며, 컴퓨터를 매개체로 하여 일어난 행위들을 비롯 숨겨진 파일이나 삭제된
파일도 복구하여 사실관계를 증명함으로써 수사의 증거자료로 활용."
딥러닝 (Deep Learning),"딥러닝(Deep Learning)은 컴퓨터가 마치 사람처럼 생각하고 배울 수 있도록 인공 신경망을
기반으로 한 기계 학습 기술을 말함. 딥러닝은 인간의 두뇌가 수많은 데이터 속에서
패턴을 발견한 뒤 사물을 구분하는 정보처리 방식을 모방해 컴퓨터가 사물을 분별하도록
기계를 학습시킴. 딥러닝 기술은 G社의 알파고(AlphaGo)가 대표적임."
딥웹 (Deep Web),"딥웹(Deep Web), 심층 웹이라고도 한다. 일반적인 검색 엔진으로는 드러나지 않는 월드
와이드 웹 콘텐츠를 말함. 딥웹에 접속하려면 토르 프로젝트(Tor project)의 토르 브라우저를
이용하는 것이 가장 많이 알려진 방법임."
딥페이크 (Deepfake),"딥러닝(deep learning)과 페이크(fake)의 합성어로서, 딥러닝 기술을 이용하여 원본 사진
이나 동영상의 특정 부분을 의도된 이미지로 대체함으로써 가짜 사진이나 동영상을 만들
어내는 기술."
래터럴 무브먼트 (Lateral Movement),"지능형 위협(Advanced Persistent Threat, APT)의 공격 전개 과정 중 하나로, 흔히 내부망
공격, 내부 확산, 측면 이동, 횡적 이동 등으로도 불림. 조직 내부로 침투한 위협이 최종
타깃 시스템을 찾기 위해 조직의 내부망에서 이동하는 것으로, 구체적으로는 클라이언트
시스템에서 클라이언트 시스템으로(Client to Client), 서버에서 서버(Server to Server)로의
이동과 같이 동일 선상에서 이동하는 것을 말함. 이를 통해 내부 감염이 확산되거나
최종적으로 피해가 발생한 시스템에서 역추적하더라도 위협이 최초로 유입된 경로를 파악
하기 어려움. 한편, 클라이언트 시스템에서 서버로(Client to Server), 서버에서 클라이언트
시스템(Sever to Client)으로의 이동은 종적 이동(Vertical Movement)라고 부르기도 함."
랜섬웨어(Ransomware),"Ransom(몸값)과 Ware(제품)의 합성어로, 미국에서 문서자료를 볼모로 돈을 요구한 사건을
계기로 등장한 용어. 사용자 PC나 문서파일에 강제로 암호를 걸어두고 해커가 지정한 계좌
번호로 돈을 보내야 암호를 풀어주는 금품갈취형 악성 프로그램."
레드팀(Red Team),"같은 조직안에서 모의 적군의 입장을 갖고 현 조직내의 보안적 문제점이 무엇인지 살펴
보는 팀을 의미함."
